l1,template,location,l2,l3
השכרת כלים,ADMINISTRATIVE,,,
אולפן הקלטות,ADMINISTRATIVE,,,
חדר מחשבים,ADMINISTRATIVE,,,
תזמורות והרכבים לתלמידי המרכז - ילדים ונוער,ENSEMBLE,,,
מלגות,ADMINISTRATIVE,,,
אירועים,ADMINISTRATIVE,,שיעורים פרטניים,יוצר לאור 2025 - החממה הירושלמית למוסיקאים/ות
תזמורות הרכבים וקבוצות - בוגרים,ENSEMBLE,,,
השכרת כלים ופעילויות לתלמידי חוץ,ADMINISTRATIVE,,,
פרוייקטים פנימיים,ADMINISTRATIVE,,,
אולם מופעים,ADMINISTRATIVE,,,
מזרח העיר,DISCIPLINE,,שיעורים פרטניים,אורגן
מזרח העיר,DISCIPLINE,,שיעורים פרטניים,כלי הקשה
חוגים,DISCIPLINE,,שיעורים פרטניים,גיטרה
חוגים,DISCIPLINE,,שיעורים פרטניים,גיטרה ועוד
חוגים,DISCIPLINE,,שיעורים פרטניים,גיטרה קלאסית
חוגים,DISCIPLINE,,שיעורים פרטניים,חליל
חוגים,DISCIPLINE,,שיעורים פרטניים,חליל צד
חוגים,DISCIPLINE,,שיעורים פרטניים,חצוצרה
חוגים,DISCIPLINE,,שיעורים פרטניים,טרומבון
חוגים,DISCIPLINE,,שיעורים פרטניים,כינור
חוגים,DISCIPLINE,,שיעורים פרטניים,סקסופון
חוגים,DISCIPLINE,,שיעורים פרטניים,פיתוח קול
חוגים,DISCIPLINE,,שיעורים פרטניים,פסנתר
חוגים,DISCIPLINE,,שיעורים פרטניים,קלרינט
חוגים,DISCIPLINE,,שיעורים פרטניים,תופים
חוגים,DISCIPLINE,,שיעורים זוגיים,חליל צד
חוגים,DISCIPLINE,,שיעורים זוגיים,פסנתר
חוגים,DISCIPLINE,,שיעורים זוגיים,קלרינט
חוגים - בית הכרם,DISCIPLINE,,שיעורים פרטניים,גיטרה
חוגים - בית הכרם,DISCIPLINE,,שיעורים זוגיים,גיטרה
חוגים - בית הכרם,DISCIPLINE,,שיעורים קבוצתיים,גיטרה
חוגים - בית הכרם,DISCIPLINE,,שיעורים קבוצתיים,יוקליילי
חוגים - ממד הרובע,DISCIPLINE,,שיעורים פרטניים,גיטרה
חוגים - ממד הרובע,DISCIPLINE,,שיעורים פרטניים,דרבוקה
חוגים - ממד הרובע,DISCIPLINE,,שיעורים פרטניים,ויולה
חוגים - ממד הרובע,DISCIPLINE,,שיעורים פרטניים,חליל צד
חוגים - ממד הרובע,DISCIPLINE,,שיעורים פרטניים,חלילית
חוגים - ממד הרובע,DISCIPLINE,,שיעורים פרטניים,חצוצרה
חוגים - ממד הרובע,DISCIPLINE,,שיעורים פרטניים,טרומבון
חוגים - ממד הרובע,DISCIPLINE,,שיעורים פרטניים,יוקליילי
חוגים - ממד הרובע,DISCIPLINE,,שיעורים פרטניים,כינור
חוגים - ממד הרובע,DISCIPLINE,,שיעורים פרטניים,סקסופון
חוגים - ממד הרובע,DISCIPLINE,,שיעורים פרטניים,פסנתר
חוגים - ממד הרובע,DISCIPLINE,,שיעורים פרטניים,קלרינט
חוגים - ממד הרובע,DISCIPLINE,,שיעורים זוגיים,גיטרה
חוגים - ממד הרובע,DISCIPLINE,,שיעורים זוגיים,ויולה
חוגים - ממד הרובע,DISCIPLINE,,שיעורים זוגיים,חליל צד
חוגים - ממד הרובע,DISCIPLINE,,שיעורים זוגיים,חלילית
חוגים - ממד הרובע,DISCIPLINE,,שיעורים זוגיים,חצוצרה
חוגים - ממד הרובע,DISCIPLINE,,שיעורים זוגיים,טרומבון
חוגים - ממד הרובע,DISCIPLINE,,שיעורים זוגיים,יוקליילי
חוגים - ממד הרובע,DISCIPLINE,,שיעורים זוגיים,כינור
חוגים - ממד הרובע,DISCIPLINE,,שיעורים זוגיים,סקסופון
חוגים - ממד הרובע,DISCIPLINE,,שיעורים זוגיים,קלרינט
חוגים - ממד הרובע,DISCIPLINE,,שיעורים בשלישייה,גיטרה
חוגים - ממד הרובע,DISCIPLINE,,שיעורים בשלישייה,חליל צד
חוגים - ממד הרובע,DISCIPLINE,,שיעורים בשלישייה,חלילית
חוגים - ממד הרובע,DISCIPLINE,,שיעורים בשלישייה,חצוצרה
חוגים - ממד הרובע,DISCIPLINE,,שיעורים בשלישייה,טרומבון
חוגים - ממד הרובע,DISCIPLINE,,שיעורים בשלישייה,יוקליילי
חוגים - ממד הרובע,DISCIPLINE,,שיעורים בשלישייה,סקסופון
חוגים - ממד הרובע,DISCIPLINE,,שיעורים בשלישייה,קלרינט
חוגים - ממד הרובע,DISCIPLINE,,שיעורים קבוצתיים,גיטרה
חוגים - ממד הרובע,DISCIPLINE,,שיעורים קבוצתיים,דרבוקה
חוגים - ממד הרובע,DISCIPLINE,,שיעורים קבוצתיים,חליל צד
חוגים - ממד הרובע,DISCIPLINE,,שיעורים קבוצתיים,חלילית
חוגים - ממד הרובע,DISCIPLINE,,שיעורים קבוצתיים,חצוצרה
חוגים - ממד הרובע,DISCIPLINE,,שיעורים קבוצתיים,טרומבון
חוגים - ממד הרובע,DISCIPLINE,,שיעורים קבוצתיים,יוקליילי
חוגים - ממד הרובע,DISCIPLINE,,שיעורים קבוצתיים,כינור
חוגים - ממד הרובע,DISCIPLINE,,שיעורים קבוצתיים,סקסופון
חוגים - ממד הרובע,DISCIPLINE,,שיעורים קבוצתיים,קלרינט
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים,בס חשמלית
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים,גיטרה
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים,ויולה
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים,חליל צד
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים,חלילית
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים,חצוצרה
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים,יוקללי
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים,כינור
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים,סקסופון
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים,פסנתר
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים,צ'לו
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים,קלרינט
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים,תופים
חוגים - מקור חיים,DISCIPLINE,,שיעורים זוגיים,גיטרה
חוגים - מקור חיים,DISCIPLINE,,שיעורים זוגיים,ויולה
חוגים - מקור חיים,DISCIPLINE,,שיעורים זוגיים,חליל צד
חוגים - מקור חיים,DISCIPLINE,,שיעורים זוגיים,חלילית
חוגים - מקור חיים,DISCIPLINE,,שיעורים זוגיים,חצוצרה
חוגים - מקור חיים,DISCIPLINE,,שיעורים זוגיים,סקסופון
חוגים - מקור חיים,DISCIPLINE,,שיעורים זוגיים,צ'לו
חוגים - מקור חיים,DISCIPLINE,,שיעורים זוגיים,קלרינט
חוגים - מקור חיים,DISCIPLINE,,שיעורים בשלישייה,חליל צד
חוגים - מקור חיים,DISCIPLINE,,שיעורים בשלישייה,חלילית
חוגים - מקור חיים,DISCIPLINE,,שיעורים ברביעייה,גיטרה
חוגים - מקור חיים,DISCIPLINE,,שיעורים קבוצתיים,גיטרה
חוגים - מקור חיים,DISCIPLINE,,שיעורים קבוצתיים,דרבוקה
חוגים - מקור חיים,DISCIPLINE,,שיעורים קבוצתיים,ויולה
חוגים - מקור חיים,DISCIPLINE,,שיעורים קבוצתיים,חליל צד
חוגים - מקור חיים,DISCIPLINE,,שיעורים קבוצתיים,חלילית
חוגים - מקור חיים,DISCIPLINE,,שיעורים קבוצתיים,חצוצרה
חוגים - מקור חיים,DISCIPLINE,,שיעורים קבוצתיים,כינור
חוגים - מקור חיים,DISCIPLINE,,שיעורים קבוצתיים,סקסופון
חוגים - מקור חיים,DISCIPLINE,,שיעורים קבוצתיים,צ'לו
חוגים - מקור חיים,DISCIPLINE,,שיעורים קבוצתיים,קלרינט
חוגים - מקור חיים,DISCIPLINE,,שיעורים קבוצתיים כפולים,כינור
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים + קבוצתיים,גיטרה
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים + קבוצתיים,ויולה
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים + קבוצתיים,חליל צד
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים + קבוצתיים,כינור
חוגים - מקור חיים,DISCIPLINE,,שיעורים פרטניים + קבוצתיים,צ'לו
חוגים - מקור חיים,DISCIPLINE,,שיעורים זוגיים + קבוצתיים,גיטרה
חוגים - מקור חיים,DISCIPLINE,,שיעורים זוגיים + קבוצתיים,ויולה
